,Ahmedabad_AQI,Aizawl_AQI,Amaravati_AQI,Amritsar_AQI,Bengaluru_AQI,Bhopal_AQI,Brajrajnagar_AQI,Chandigarh_AQI,Chennai_AQI,Coimbatore_AQI,Delhi_AQI,Ernakulam_AQI,Gurugram_AQI,Guwahati_AQI,Hyderabad_AQI,Jaipur_AQI,Jorapokhar_AQI,Kochi_AQI,Kolkata_AQI,Lucknow_AQI,Mumbai_AQI,Patna_AQI,Shillong_AQI,Talcher_AQI,Thiruvananthapuram_AQI,Visakhapatnam_AQI,India_AQI
2015-01-01,350.3333333333333,,,,,,,,,,342.2903225806452,,,,,,,,,,,,,,,,346.31182795698925
2015-02-01,520.64,,,,,,,,,,327.92857142857144,,,,,,,,,,,,,,,,424.2842857142857
2015-03-01,418.57142857142856,,,,130.54545454545453,,,,363.8,,256.06451612903226,,,,120.0,,,,,264.27272727272725,,,,,,,258.8756877531071
2015-04-01,308.64,,,,113.73333333333333,,,,175.86206896551724,,305.26666666666665,,,,140.80769230769232,,,,,118.58620689655173,,,,,,,193.8159946949602
2015-05-01,263.46666666666664,,,,102.7741935483871,,,,176.1290322580645,,348.5806451612903,,,,133.38709677419354,,,,,137.0,,,,,,,193.5562724014337
2015-06-01,207.06666666666666,,,,108.3,,,,152.2,,258.3333333333333,,,,155.53333333333333,,,,,149.66666666666666,,,,,,,171.85
2015-07-01,168.96666666666667,,,,160.5483870967742,,,,164.06451612903226,,200.29032258064515,,,,78.48387096774194,,,,,125.23333333333333,,,,,,,149.5978494623656
2015-08-01,223.96774193548387,,,,134.8709677419355,,,,122.61290322580645,,218.06451612903226,,,,132.93548387096774,,,,,105.51612903225806,,,,,,,156.32795698924733
2015-09-01,254.37037037037038,,,,98.36666666666666,,,,120.73333333333333,,225.3,,,,170.1,,,,,130.46666666666667,,,,,,,166.5561728395062
2015-10-01,451.6551724137931,,,,105.3225806451613,,,,143.58064516129033,,325.0,,,,217.06451612903226,,,,,240.2258064516129,,230.95,,,,,244.82838868584142
2015-11-01,436.6,,,,83.93333333333334,,,,120.63333333333334,,405.03333333333336,,,,139.16666666666666,,,,,397.76666666666665,,371.0,,,,,279.16190476190474
2015-12-01,,,,,97.45161290322581,,,,122.0,,355.3225806451613,,,,124.74193548387096,,,,,388.06451612903226,,407.93548387096774,,,,,249.252688172043
2016-01-01,,,,,134.32258064516128,,,,143.83870967741936,,441.9032258064516,,222.66666666666666,,170.5483870967742,,,,,362.51612903225805,,435.80645161290323,,,,,273.0860215053763
2016-02-01,,,,,143.89655172413794,,,,155.41379310344828,,312.44827586206895,,272.4,,148.44827586206895,,,,,322.3448275862069,,313.0416666666667,,,,,238.28477011494252
2016-03-01,,,,,145.58064516129033,,,,155.06451612903226,,230.09677419354838,,375.5833333333333,,118.3225806451613,,,,,217.51612903225808,,242.88888888888889,,,,,212.1504096262161
2016-04-01,,,,,122.0,,,,133.16666666666666,,290.6666666666667,,250.14285714285714,,110.37931034482759,,,,,238.63333333333333,,186.9655172413793,,,,,190.27919305653293
2016-05-01,,,,,67.87096774193549,,,,129.25806451612902,,268.35483870967744,,201.74193548387098,,104.48387096774194,,,,,205.0,,189.67741935483872,,,,,166.6267281105991
